Abarrotes,Aceites,Vegetal,9.8,50,Primor,0,001-h3Klzs
Abarrotes,Aceites,Vegetal,6.79,50,Nicolini,0,001-r2ZlmP
Abarrotes,Aceites,Oliva Extra virgen,38.9,50,Carbonell,0,001-e3KzG1
Abarrotes,Aceites,Oliva,27.9,50,El Olivar,0,001-x2kcLp
Abarrotes,Aceites,Ajonjoli,6.59,50,Sesamel,0,001-f3xk1p
Abarrotes,Aceites,Ajonjoli,27.5,50,Olivos del Sur,0,001-qP3xj1
Abarrotes,Arroz,Extra,16.7,50,Pepega,5,001-d3p1LZ
Abarrotes,Arroz,Extra,19.89,50,Costeño,0,001-x1ldP3
Abarrotes,Arroz,Superior,17,50,Paisana,0,001-w1gP3v
Abarrotes,Arroz,Superior,18.89,50,Costeño,0,001-g3pZ21
Abarrotes,Arroz,Integral,19.2,50,Pepega,10,001-f1Xp3z
Abarrotes,Arroz,Extra,19.89,50,Vallenorte,0,001-r3xK1L
Abarrotes,Arroz,Extra Graneadito,18.5,50,Pepega,0,001-e2LpX1
Abarrotes,Arroz,Extra,19.19,50,Faraon,0,001-t1kL4p
Abarrotes,Arroz,Extra,15.79,50,Precio Uno,10,001-r1cKh2
Abarrotes,Pastas y Salsas,S. Tomate Parmesano,7.5,50,Pepega-Premium,5,001-z1df2p
Abarrotes,Pastas y Salsas,S. Tomate Arrabiatta,7.5,50,Pepega-Premium,5,001-x2dp1v
Abarrotes,Pastas y Salsas,Macaroni & Cheese,4.6,50,Pepega,5,001-d2p1cF
Abarrotes,Pastas y Salsas,Pasta Spaguetti,3.6,50,Pepega,5,001-d7kXgp
Abarrotes,Pastas y Salsas,S. BBQ Original,8.2,50,Pepega,5,001-v2KxP9
Abarrotes,Pastas y Salsas,Pasta Canuto Rayado,1.2,30,Pepega,0,001-y2cP5m
Abarrotes,Pastas y Salsas,Fideo Spaghetti,3.9,50,Don-Vittorio,0,001-y4juN5
Abarrotes,Pastas y Salsas,Fideo Spaghetti,2.69,50,Nicolini,0,001-f2ck5P
Abarrotes,Pastas y Salsas,S. Roja,4,50,Don-Vittorio,0,001-d6jTN2
Abarrotes,Pastas y Salsas,Fideo Spaghetti,4,50,Molitalia,0,001-j3Ck5p
Abarrotes,Pastas y Salsas,S. Tomate Pomarola,1.3,50,Molitalia,0,001-gu4cF7
Abarrotes,Pastas y Salsas,Fideo Cabello Angel,1.5,50,Don-Vittorio,0,001-k6cBn4
Abarrotes,Pastas y Salsas,Fideo Linguini Grosso,3.9,50,Don-Vittorio,0,001-m4Kp2Z
Abarrotes,Pastas y Salsas,P.Tomate,1.3,50,Molitalia,0,001-b6cX4T
Abarrotes,Pastas y Salsas,Fideo Tornillo,1.59,50,Don-Vittorio,0,001-n2KcJ9
Abarrotes,Pastas y Salsas,Fideo Tornillo,1.29,50,Molitalia,0,001-uG2rK7
Abarrotes,Pastas y Salsas,Semola,1.29,50,Molitalia,0,001-m2CrT5
Abarrotes,Pastas y Salsas,Fideo Codo Rayado,1.29,50,Molitalia,0,001-y2CkPZ
Abarrotes,Pastas y Salsas,Tallarin Grueso,2.69,50,Nicolini,0,001-j2CxZ5
Abarrotes,Pastas y Salsas,Fideo Cabello de Angel,1.29,50,Molitalia,0,001-k2Clp4
Abarrotes,Pastas y Salsas,Fideos Tornillo,1.09,50,Nicolini,0,001-a2LVm8
Abarrotes,Pastas y Salsas,S. Roja Peruana,7.6,50,Casa-Verde,0,001-s2VCm3
Abarrotes,Pastas y Salsas,Tuco,1.1,50,Sibarita,0,001-d2cN5K
Abarrotes,Pastas y Salsas,Fideo Tallarin Delgado,1.99,50,Nicolini,0,001-b3KaP5
Abarrotes,Pastas y Salsas,Fideo Municion,1.3,50,Molitalia,0,001-v4kg5T
Abarrotes,Pastas y Salsas,Fideo Rigatoni,1.09,50,Nicolini,0,001-h5Vp2L
Abarrotes,Pastas y Salsas,Fideo Corto Letras,1.29,50,Molitalia,0,001-n2Pvk5
Abarrotes,Pastas y Salsas,Fideo Canuto Multicereal,1.1,50,Grano de Oro,0,001-u3xMa4
Abarrotes,Pastas y Salsas,Pure Tomate la Rojita,1.4,50,Maggi,0,001-k5VmP4
Abarrotes,Pastas y Salsas,Ravioli Carne,5.9,50,Molitalia,0,001-a2vMrP
Abarrotes,Pastas y Salsas,Lasagne,25.9,30,Agnesi,0,001-r3cPk4
Abarrotes,Alimentos en Conserva,Durazno en Mitades,6.2,50,Pepega,5,001-hGn2eL
Abarrotes,Alimentos en Conserva,Atún en Aceite X3,11.6,50,Pepega,5,001-p4CmB5
Abarrotes,Alimentos en Conserva,Trozos de Atún,4.1,50,Pepega,5,001-n3vJ2K
Abarrotes,Alimentos en Conserva,Esparrago Blanco,6.5,50,Pepega,5,001-r3gJ6T
Abarrotes,Alimentos en Conserva,Trozos de atún,4.69,50,Campomar,0,001-y8VnM9
Abarrotes,Alimentos en Conserva,Filete de Atún,5.19,50,Campomar,0,001-q6bM4W
Abarrotes,Alimentos en Conserva,Duraznos en Almibar,8.7,50,Aconcagua,0,001-w3hQ5n
Abarrotes,Alimentos en Conserva,Filete de Atún Light,5.49,50,Real,0,001-rBk4P2
Abarrotes,Alimentos en Conserva,Grated de Atún,3.9,50,Florida,0,001-jBm5P8
Abarrotes,Alimentos en Conserva,Lomito de Atún,4.99,50,Campomar,0,001-hKBm3A
Abarrotes,Alimentos en Conserva,Choclo Dulce Desgranado,6.4,50,Valle Fertil,0,001-d8Ka2C
Abarrotes,Alimentos en Conserva,Conserva Piña Rodajas,6,50,Pepega,0,001-m3CaR6
Abarrotes,Alimentos en Conserva,Champignones,5.6,50,Narcissus,0,001-r9VmS3
Abarrotes,Alimentos en Conserva,Sardinas en Aceite,14.89,50,Vigilante,0,001-w4bKa9
Abarrotes,Alimentos en Conserva,Cocktail de Frutas,9.2,50,Pepega,5,001-w2vBJ6
Abarrotes,Alimentos en Conserva,Trozos de Atún X6,22.5,50,Pepega,10,001-q6BaU5
Abarrotes,Menestras,Lenteja Bebe,2.4,50,Precio-Uno,0,001-e3bZkP
Abarrotes,Menestras,Quinua,6.4,50,Pepega,5,001-p2BmQ6
Abarrotes,Menestras,Lenteja,3.3,50,Pepega,5,001-vMxAp2
Abarrotes,Menestras,Maiz Pop Corn,3.1,50,Pepega,5,001-g2cZp5
Abarrotes,Menestras,Frijol Canario,6.1,50,Pepega,5,001-x5mV7Q
Abarrotes,Menestras,Arveja Partida,2.9,50,Pepega,5,001-t3qR5X
Abarrotes,Menestras,Quinua,8.39,50,Pepega,5,001-w2Zp5M
